Date,Title,articleLead,articleText,url 
"25 April, 12:47",Мосгордума приняла закон о продлении голосования на выборах мэра,Мосгордума приняла в окончательной редакции законопроект о внесении изменений в избирательный кодекс Москвы. Об этом  сообщается  на сайте законодательного собрания столицы.,"Председатель Мосгордумы Валентин Горбунов рассказал, что ко второму чтению поступило 28 поправок, из них 27 были поддержаны. Одна из поправок предполагает продление голосования на выборах в Москве с 20 до 22 часов. На выборах мэра столицы избиратели теперь смогут проголосовать не по месту регистрации, а по месту нахождения. Ранее эта возможность была предоставлена избирателям на выборах президента России в марте 2018 года. Кроме того, была увеличена предельная сумма расходов средств избирательных фондов кандидатов в мэры города до 250 миллионов рублей, в депутаты Мосгордумы — до 25 миллионов рублей, на должность главы муниципального образования — до 800 тысяч рублей. Необходимость принятия этой поправки объяснили ростом цен на транспортные услуги, аренду помещений, типографские, аудиовизуальные услуги и расходные полиграфические материалы. Также снизили с 1 до 0,5%, количество подписей избирателей, необходимых для регистрации кандидата на должность мэра Москвы. Мэр Москвы Сергей Собянин 16 апреля  внес  в Мосгордуму законопроект о продлении голосования на выборах мэра до 22:00.  В документе отмечается, что это будет удобно москвичам, в том числе тем, кто в выходные уезжает за город. Председатель комиссии МГД по науке и промышленности Леонид Зюганов  раскритиковал  эту инициативу. Он отметил, что на выборах президента России с 19 до 20 часов проголосовало менее 1% избирателей.",https://tvrain.ru/news/mosgorduma-462568/
"24 April, 19:55",В Москве закрыли Усачевский рынок после проверки МЧС,Усачевский рынок в Москве закрыли по решению суда после совместной проверки прокуратуры и МЧС. Об этом РБК  сообщил  управляющий рынка Егор Гурник.,"«Это связано с совместной проверкой прокуратуры и МЧС: были выявлены незначительные нарушения по пожарной безопасности, которые уже частично устранены. Остальные устраняются», — рассказал он. Гурник добавил, что администрация рынка считает принятые меры избыточными. Он выразил надежду, что в скором времени они возобновят работу. По данным СПАРК, владельцем и гендиректором Усачевского рынка числится Александр Мартьянов. Уставной капитал компании составляет 10 тысяч рублей, выручка за 2016 год — 27,7 миллиона рублей, а чистый убыток — более 30 миллионов рублей. В Кемерово в торговом центре «Зимняя вишня» 25 марта произошел пожар. В результате погибли 60 человек, большинство из которых дети. По предварительной информации, причиной пожара  стало  короткое замыкание в проводке светильника. В МЧС  заявили , что торговый центр не проверяли на предмет противопожарной безопасности ни разу с 2012 года. Плановая проверка была запланирована на 2016 год, но когда сотрудники торгово центра пришли в «Зимнюю вишню» собственник показал документы, что они являются объектами малого предпринимательства и в их отношении действуют надзорные каникулы.",https://tvrain.ru/news/usachevskij_rynok-462525/
"25 April, 21:24",При наезде фургона на пешеходов в Торонто пострадала 90-летняя россиянка,"Гражданка России Александра Кожевникова пострадала при наезде фургона на пешеходов в канадском городе Торонто, которое произошло 23 апреля. Об этом  сообщает  ТАСС со ссылкой на российское посольство в Оттаве.","По словам дипломата, Кожевникова имела как российское, так и канадское гражданства. «Это Александра Степановна Кожевникова 1927 года рождения, ветеран труда», - отметили в посольстве.  Женщина «получила травмы от удара по касательной и от падения на землю». Ее сразу отвезли в больницу. Сейчас ее состояние стабильное, отметили в посольстве, родственники рассчитываю на скорую выписку. Наезд фургона на пешеходов на улице Янг на севере Торонто  произошел  23 апреля около 13.30 по местному времени (20.30 мск). Машина выехала на тротуар и начала сбивать людей. Погибли 10 человек, еще 15 получили ранения. В качестве одной из версий произошедшего полиция  рассматривает  теракт.",https://tvrain.ru/news/naezd_furgona_na_peshehodov_rossijanka-462611/
"25 апреля, 11:32",«МК»: в Подмосковье школьник покончил с собой после проверки ФСБ,"В Подмосковье покончил с собой 17-летний подросток,  сообщает  «Московский комсомолец» со ссылкой на собственные данные и учителей погибшего. По сведениям издания, он проводил дома химические опыты и на это жаловались соседи, а незадолго до гибели к нему приходили сотрудники ФСБ. В предсмертной записке подросток якобы написал, что «государству не нужны одаренные люди» и их «душат проверками».","Молодого человека нашли мертвым вечером 23 апреля. Он учился в колледже с физико-математическим уклоном. Преподаватель колледжа рассказала газете, что подросток не раз побеждал на областных и всероссийских олимпиадах по химии. При этом она добавила, что он был ранимым и «сильно переживал каждую свою неудачу». Дома у погибшего была мини-лаборатория. Опыты, которые он проводил, «нередко заканчивались взрывами», указывает «МК». Из-за жалоб соседей к нему пришли сотрудники ФСБ, которые провели проверку и взяли с него и его родителей подписку о неразглашении ее результатов. Когда именно это было, не уточняется. В Центре общественных связей ФСБ Дождю не смогли оперативно прокомментировать эту информацию. Дождь направил запрос, ответа на него на момент публикации не поступило.",https://tvrain.ru/news/olimpiad_po_himii-462559/
"26 April, 13:26",Шувалов ответил на вопрос о желании работать в правительстве,"Первый вице-премьер Игорь Шувалов заявил, что готов работать там, где ему предложит президент России. Так он ответил на вопрос, хочет ли он и дальше работать в правительстве, передает « Интерфакс ».","«Я хочу работать там, где скажет президент. Я любой работе рад, которую даст президент», — сказал Шувалов. Ранее Дождю  стало известно , что в руководстве страны обсуждают уход Шувалова с поста вице-премьера во время майских ротаций. Собеседники Дождя в аппарате кабинета министров и в Кремле рассказали, что Шувалов не хочет оставаться на своей должности в новом составе правительства. Знакомый Шувалова рассказал Дождю, что главная причина ухода — желание самого вице-премьера. По словам собеседника в аппарате правительства, Шувалов давно просился в отставку у президента Владимира Путина и недавно получил добро. После ухода из правительства Шувалов может получить должность в руководстве МГУ. Человек, близкий к правительству, рассказал, что Шувалов мог бы возглавить проект МГУ — Научно-технологическую долину, на концепцией которого работал Фонд Катерины Тихоново, которую СМИ и Минфин США называли дочерью Владимира Путина. Среди других вариантов будущего места работы Шувалова собеседники называют бизнес или другую высокую государственную должность, например, в руководстве Банка России.",https://tvrain.ru/news/shuvalov-462645/
"25 April, 11:46",В Армении возобновились массовые акции протеста,"В Ереване возобновились массовые акции протеста, передает корреспондент Дождя. Это произошло после провала переговоров оппозиции с временно исполняющим обязанности премьер-министра Кареном Карапетяном.","По оценке корреспондента Дождя, в новой акции протеста участвуют несколько десятков тысяч человек. Они перекрыли движение по центру Еревана, автомобилисты их поддерживают. Среди своих новых требований они называют уход правящей Республиканской партии Армении. По словам лидера протестного движения Никола Пашиняна, партия «не понимает ситуации» и «должна уйти». Накануне он объявил о проведении новой акции протеста. Протесты в Армении начались 13 апреля. Митингующие требовали отставки премьер-министра Сержа Саргсяна, который занял эту должность после отставки с поста президента страны. 23 апреля Саргсян подал в отставку, признав правоту митингующих и их лидера Никола Пашиняна. В 2015 году в Армении провели конституционную реформу, после которой полномочия премьер-министра были расширены, а президент сохранил представительские функции. Саргсян был президентом Армении с 2008 по 2018 годы.",https://tvrain.ru/news/v_armenii_vozobnovilis-462564/
"25 April, 20:47",Мединский поддержал ходатайство СК о переводе Малобродского под домашний арест,"Министр культуры Владимир Мединский поддержал ходатайство следствия выпустить из СИЗО бывшего директора «Гоголь-центра» Алексея Малобродского, передает «Интерфакс».","«Рад, что в СК возобладала позиция гуманизма», — отметил Мединский. Он подчеркнул, что надеется на гуманное решение суда по делу о хищениях в «Седьмой студии». По словам Мединского, в министерство культуры недавно обращались от имени Союза театральных деятелей Александр Калягин и Сергей Женовач. Они тоже просили «за Малобродского». «Мы эти просьбы, соответствующую позицию нашего ведомства, довели до правоохранительных органов», — рассказал Мединский. Ранее Следственный комитет  сообщил , что решил перевести Малобродского под домашний арест в связи с его возрастом и «состоянием здоровья». Соответствующее ходатайство СК направил в Басманный суд. По словам пресс-секретаря суда Юноны Царевой, заседание по его рассмотрению состоится 27 апреля. Малобродский находится в СИЗО с июня 2017 года. Его обвиняют в хищении бюджетных денег, выделенных на театральный проект «Платформа», которым занималась «Седьмая студия». По этому же делу проходят также режиссер и основатель «Седьмой студии» Кирилл Серебренников, бывший гендиректор «Седьмой студии» Юрий Итин, бывший главный бухгалтер Нина Масляева и директор РАМТ Софья Апфельбаум. Их всех суд уже отправил под домашний арест. Еще одна фигурантка дела — продюсер Екатерина Воронова — объявлена в розыск.",https://tvrain.ru/news/medinskij_malobrodskiy-462605/
"25 апреля, 21:44",Блокировки Роскомнадзора ограничили доступ к видеорекламе в рунете,"Роскомнадзор заблокировал IP-адрес сервисной библиотеки Google, необходимой для показа видеорекламы. Речь идет об адресе 64.233.162.95, он внесен в  реестр  запрещенных сайтов на основании решения Генпрокуратуры.","Сервисная библиотека расположена на домене imasdk.googleapis.com и отвечает за показ прероллов и построллов. Ее блокировка связана с внесением в реестр Роскомнадзора IP-адресов сервиса универсальных шрифтов Google Fonts: у них совпадает адрес 64.233.162.95. «В случае телеканала, у которого большинство контента — видео, это особенно неприятно. Мы не можем выполнять свои обязательства перед клиентами по открутке рекламы и несем репутационные риски и коммерческие издержки», — отметил диджитал-директор Дождя Кирилл Бушев. Кроме этого, накануне возникли неполадки в работе почтовых сервисов Mailchimp и Mandrill из-за использования ими сервисов Amazon. Дождь использует эти сервисы для рассылок, в том числе триггерных. Это увеличило нагрузку на службу поддержки телеканала, указал Бушев. Таганский суд Москвы 13 апреля принял решение заблокировать Telegram в России из-за отказа мессенджера предоставить ФСБ ключи шифрования к переписке пользователей. Роскомнадзор начал предпринимать попытки заблокировать Telegram с 16 апреля. Среди прочих были заблокированы IP-адреса Amazon и Google, которые мессенджер использует для обхода блокировки. У части пользователей возникли проблемы с доступом к различным онлайн-сервисам.",https://tvrain.ru/news/blokirovki_roskomnadzora_ogranichili_dostup_k_videoreklame_v_runete-462615/
"24 April, 19:06",Мосгорсуд оставил в силе приговор экс-директору Библиотеки украинской литературы,"Мосгорсуд отклонил жалобу на приговор бывшему директору Библиотеки украинской литературы Наталье Шариной, которую обвиняют в распространении экстремистской литературы, передает «Интерфакс».","Адвокаты Шариной — Иван Павлов и Евгений Смирнов — просили суд апелляционной инстанции отменить приговор. Они настаивали на оправдании своей подзащитной, так как, по их мнению, вина Шариной не доказана. Накануне, 23 апреля, Павлов  сообщил  о том, что Мосгорсуд объявил об отклонении жалобы защиты до завершения ее рассмотрения. Адвокат просил председателя суда разъяснить эту ситуацию. «Мы неоднократно сталкивались с тем, что еще до проведения заседания результат его заранее известен сотрудникам суда: то о решении заранее напишут в карточке дела, то вот так вот сообщат журналистам», — отметил Павлов. Позже пресс-секретарь Мосгорсуда Ульяна Солопова объяснила это ошибкой сотрудника, который, по ее словам, перепутал судебные заседания. В начале июня 2017 года Мещанский суд Москвы  приговорил  Шарину к четырем годам условно. Ее обвиняют в распространении экстремистской литературы. Шарина считает, что дело против нее политически мотивировано. Шарину задержали в октябре 2015 года. С того момента она находилась под домашним арестом, а в здании Библиотеки украинской литературы проводили обыски.",https://tvrain.ru/news/eks_direktor_biblioteki_ukrainskoj_literatury-462518/
"26 April, 13:29",В Армении подали в отставку трое министров и двое губернаторов,"В Армении подали в отставку исполняющие обязаности министров образования и науки, охраны природы, а также территориального управления и развития — Левон Мкртчян, Арцвик Минасян и Давид Локян. Об этом сообщает издание  Panarmenian.net  со ссылкой на заявление партии «Дашнакцутюн».","Кроме этого, заявления об уходе со своих должностей подали губернатор Ширакской области Артур Хачатрян и глава Арагацотнской области Ашот Симонян. Отставки связаны с выходом «Дашнакцутюн» из политической коалиции с правящей Республиканской партией, уточняет « Интерфакс ». Накануне об отставке заявил исполняющий обязанности министра спорта и по делам молодежи Армении, член партии «Процветающая Армения» Грачья Ростомян. Он присоединился к протестам оппозиции. Армянская революционная федерация (АРФ) «Дашнакцутюн» объявила о выходе из коалиции накануне. Партия заявила, что парламент Армении должен избрать премьер-министра, которому доверяет народ и который сможет преодолеть политический кризис. Премьер-министр Армении, в руках которого после конституционной реформы 2015 года сосредоточена почти вся власть в стране, избирается парламентом. Для избрания нужно получить простое большинство голосов — 53 из 105. После выхода «Дашнакцутюн» из коалиции у Республиканской партии осталось большинство в парламенте — 58 мандатов. С 13 апреля в Армении проходили акции протеста против бывшего президента и главы Республиканской партии Сержа Саргсяна, которого выдвинули на пост премьер-министра. «Дашнакцутюн» поддержала его выдвижение. Парламент Армении 17 апреля избрал Саргсяна премьером. Спустя неделю он по требованию демонстрантов покинул свой пост. Исполняющим обязанности премьера стал другой член Республиканской партии Карен Карапетян. 25 апреля переговоры Карапетяна и главы оппозиционного парламентского блока «Елк» Никола Пашиняна, который возглавляет протесты, сорвались. После этого Пашинян объявил о новых протестах — против Республиканской партии. «Елк» объявил о его выдвижении на должность премьера.",https://tvrain.ru/news/v_armenii_podali_v_otstavku_troe_ministrov_i_dvoe_gubernatorov-462646/
"24 April, 18:19",Навальный объявил о проведении акции на Тверской улице вопреки решению мэрии,"Мэрия Москвы не согласовала заявку московского штаба Алексея Навального на проведение акции в центре Москвы, в частности на Тверской улице. Об этом политик  сообщил  в своем твиттере.","«Мэрия Москвы снова незаконно не дает нам провести акцию. По их мнению, в центре города нам нет места. Центр принадлежит Путину и „Единой России“», — написал он. Навальный добавил, что акция все равно будет проходить на Тверской улице. Руководитель департамента региональной безопасности и противодействия коррупции Москвы Владимир Черников  рассказал  РБК, что шествие на Тверской улице не согласовано, а по вопросу митинга мэрия находится в стадии переговоров. «Мы предложили им два места, отправили предложение, но ответа не получили. Сейчас находимся в переговорах, окончательного согласования нет», — сказал он. Штабы Навального в Москве и Санкт-Петербурге ранее  подали  городским властям заявки на проведение шествий «Путин нам не царь», приуроченного к предстоящей инаугурации президента. В столице штаб планировал также провести митинг. По  словам  Навального, во время акции они планируют потребовать борьбы «с бедностью и неравенством», «вернуть в страну выборы», «дать доступ к СМИ оппозиции», «выпустить политзаключенных», «перестать сажать людей за посты в соцсетях», «оставить интернет в покое», «распустить Роскомнадзор». Путин победил на выборах президента России в марте 2018 года. Навальный также планировал принять участие в выборах, однако ЦИК отказался зарегистрировать его кандидатом, сославшись на непогашенную судимость по тяжкой статье по делу «Кировлеса».",https://tvrain.ru/news/navalnyj-462514/
"25 April, 20:58",Ученые попросили Медведева «пресечь вредоносную деятельность Роскомнадзора»,Совет Общества научных работников (ОНР) обратился к премьер-министру Дмитрию Медведеву с критикой массовых сбоев в работе научных и образовательных ресурсов в связи с блокировкой Роскомнадзором мессенджера Telegram. Их заявление  опубликовал  «Троицкий вариант».,"Ученые в своем обращении пожаловались на сбои в работе «научных и образовательных интернет-ресурсов, поисковых систем и серверов электронной почты». По их словам, проблемы связаны с попытками Роскомнадзора заблокировать Telegram. «Из-за непрофессиональных действий Роскомнадзора российские ученые были лишены доступа к специализированной сети научных контактов ResearchGate, к архивам научных журналов крупнейшего издательства Wiley, к центральному репозиторию библиотек Java, сайту журнала Science, поисковой системе Google и к ряду других сетевых сервисов, постоянно используемых в исследовательской работе», — говорится в сообщении. В заявлении ОНР отмечается, что ученые не смогли подать заявки на конкурсы грантов из-за сбоев в работе информационной системе КИАС. В совете также подчеркнули, что блокировки Роскомнадзора сказались на учебном процессе МГУ, ВШЭ, СколТеха и еще нескольких других вузов. Проблемы возникли и в работе сайта «Диссернет». В своем обращении ОНР попросил «незамедлительно пресечь вредоносную деятельность Роскомнадзора». Ученые также отметили, что требуют наказать тех сотрудников ведомства, из-за которых произошли сбои в работе многих ресурсов. Массовые сбои в работе различных сервисов произошли после того, как Роскомнадзор 16 апреля начал блокировать Telegram. Регулятор приступил к этому после решения Таганского суда Москвы. Поводом для запрета мессенджера послужил отказ Telegram предоставить ФСБ ключи шифрования к переписке пользователей. После блокировки Роскомнадзором мессенджера о сбоях в работе сообщили пользователи мессенджера  Viber ,  твиттера ,  «Однаклассников» , «ВКонтакте»,  YouTube , а также нескольких онлайн-игр. О проблемах сообщали  СМИ , в частности радиостанция «Говорит Москва». Сбои коснулись также нескольких крупных компаний, облачных сервисов и банков.",https://tvrain.ru/news/uchenye_pozhalovalis_medvedevu-462608/
"26 April, 12:52",Французского миллиардера обвинили в помощи африканским президентам на выборах в обмен на контракты,"Французского миллиардера Венсана Боллоре обвинили в коррупционной связи с президентами двух стран Африки,  сообщает  Reuters.","Ему предъявили обвинения в подкупе иностранного должностного лица и соучастии в фальсификации. Однако Боллоре не был помещен под арест. Кроме того, обвинения были предъявлены гендиректору Bollore Group Жилю Аликсу и менеджеру международного подразделения рекламного агентства Havas, которое является дочерней компанией Bollore Group, Жану-Филиппу Доренту. По версии следователей, Havas предоставляла по сниженной цене консультации во время выборов президенту Гвинеи Альфе Конде в 2009 году и президенту Того Фору Эссозимне Гнассингбе в 2010 году. Взамен логистическая компания Боллоре в Африке получила лицензию на эксплуатацию контейнерных терминалов в Конкари и Ломе. Bollore Group заявила, что она не нарушала закон. Представитель правительства Гвинеи также сказал, что контракт с Bollore Group соответствует закону. Боллоре один из самых влиятельных французских бизнесменов. Он занимается перевозками, рекламой, строительством и медиа. Bollore Group присутствует в 46 странах Африки. Она управляет 16 контейнерными терминалами, а также тремя железнодорожными концессиями.",https://tvrain.ru/news/frantsuzskogo_milliardera-462642/
"24 April, 19:26",«Волонтеры победы» подтвердили задержание своей активистки на Украине,"«Волонтеры победы» подтвердили, что руководителя крымского отделения движения Елену Одновол задержали на Украине. Об этом  сообщается  на сайте организации.","В сообщении говорится, что Одновол поехала на Украину к родственникам. Организация отмечает, что она является гражданкой России. Руководитель движения Ольга Амельченкова  рассказала  ТАСС, что Одновол помогала в работе избирательного штаба Владимира Путина. При этом в списке его доверенных лиц активистки нет. Уполномоченный по правам человека в России Татьяна Москалькова  обратилась  к уполномоченному по правам человека Верховной Рады Людмиле Денисовой с просьбой освободить Одновол. Также Совет по правам человека (СПЧ) России попросил комиссара Совета Европы по правам человека Дунье Миятович способствовать его освобождению. Накануне Генпрокурор Украины Юрий Луценко  сообщил  о задержании на границе с Крымом гражданки Украины, которая была «доверенным лицом» Путина на выборах в 2018 году. По его словам, она организовала и проводила сбор подписей в поддержку Путина в Крыму. Луценко отметил, что задержанная оказывала содействие неправительственной организации «Волонтеры Победы» и России «в проведении подрывной деятельности против Украины в ущерб ее суверенитету, территориальной целостности и неприкосновенности». Он уточнил, что женщину задержали в рамках уголовного производства по факту совершения государственной измены.",https://tvrain.ru/news/na_ukraine-462519/
"26 April, 14:20",СК переквалифицировал обвинение пресс-секретарю Роскомнадзора с мошенничества на растрату,"Следственный комитет переквалифицировал обвинение с мошенничества на растрату пресс-секретарю Роскомнадзора Вадиму Ампелонскому. Об этом  сообщает  ТАСС со ссылкой на источник, близкий к следствию.","С мошенничества на растрату также переквалифицировано обвинение начальнику правового управления Роскомнадзора Борису Едидину и советнику ФГУП «Главный радиочастотный центр» Александру Весельчакову. О задержании Ампелонского, Едидина и Весельчакова стало известно в октябре 2017 года. С тех пор Ампелонский находится под домашним арестом. Источник «Интерфакса»  сообщал , что уголовное дело в отношении трех сотрудников Роскомнадзора было возбуждено из-за вывода денег ведомства через подконтрольное ФГУП «Главный радиочастотный центр». Business FM  отмечал , что речь идет о незаконной схеме получения надбавок к зарплате. Она была создана в 2012 году из-за небольших зарплат сотрудников Роскомнадзора. Ущерб от этой схемы следствие оценило в 20 млн рублей.",https://tvrain.ru/news/sk_perekvalifitsiroval_obvinenie-462649/
"26 April, 14:54","Комиссия по помилованию предложила сократить срок экс-мэру Ярославля Урлашову с 12,5 до 9 лет","Комиссия по помилованию предложила сократить срок лишения свободы бывшему мэру Ярославля Евгению Урлашову с 12,5 до 9 лет. Об этом  сообщает  РИА Новости со ссылкой на члена комиссии, регионального уполномоченного по правам человека Сергея Бабуркина.","«Комиссия по помилованию приняла положительное решение по Урлашову… Принята рекомендация сократить срок наказания до 9 лет», — рассказал омбудсмен.  Бабуркин ранее  рассказал , что решение комиссии направляется губернатору области, руководителю исполнительной власти региона. После этого глава региона отправляет свое решение в администрацию президента.  В конце марте  сообщалось , что Урлашов, осужденный за взятки, направил президенту Владимиру Путину прошение о помиловании. Уполномоченный по правам человека в Ярославской области Сергей Бабуркин тогда отмечал, что не знает, признал ли Урлашов свою вину. «Коммерсантъ» сообщал, что с апреля 2017 год Урлашов находится в рыбинской исправительной колонии номер 2. Общий срок его пребывания под стражей с учетом времени, проведенного в СИЗО, составляет четыре года и девять месяцев.   В августе 2016 года Урлашова приговорили к 12 годам и шести месяца колонии строгого режима и штрафу в 60 млн рублей по обвинению во взятках. Суд постановил, что Урлашов и его заместитель Дмитрий Донсков вымогали взятку в 18 млн рублей у директора фирмы «Радострой» за заключение муниципального контракта. По версии следствия, советник Урлашова Алексей Лопатин участвовал в вымогательства в качестве посредника. Кроме того, Урлашова обвинили в получении взятки в 17 млн рублей от гендиректора фирмы «Ярдострой» за передачу контрольного пакета ФГУП «Городское дорожное управление». Помощника Урлашова Алексея Лопатина приговорили к семи годам колонии, Дмитрий Донсков был оправдан.",https://tvrain.ru/news/komissija_po_pomilovaniju-462652/
"26 April, 15:55",Под блокировку Роскомнадзора попал сайт Transparency International,"Сайт международной антикоррупционной организации Transparency International 25 апреля стал недоступен в России,  сообщается  на сайте ее российского отделения. Это связано с блокировкой Роскомнадзором IP-адресов компании Amazon в попытках ведомства заблокировать Telegram.","IP-адрес transparency.org 52.58.28.94 входит в подсеть 52.58.0.0/15 Amazon Web Services, внесенную в реестр запрещенных ресурсов. Всего в нее входит 131 тысяча адресов. «Таким образом, Россия стала единственной страной, в которой присутствует наше движение, но не открывается международный сайт», — говорится в пресс-релизе российского Transparency International. Оно обратилось за правовой помощью в ассоциацию «Агора», юристы которой представляют Telegram. Роскомнадзор начал блокировать Telegram c 16 апреля. Под блокировки попали некоторые подсети хостинг-провайдеров Amazon и Google, чьи IP-адреса мессенжер использовал для обхода блокировки. Накануне в ведомстве  рассказали  о переговорах с представителями Amazon и Google, от которых ведомство требует прекратить предоставлять Telegram IP-адреса. Взаимодействие с Google там назвали «конструктивным», а контакты с Amazon, по заявлению ведомства, к положительным результатам не привели.",https://tvrain.ru/news/pod_blokirovku_roskomnadzora_popal_sajt_transparency_international-462659/
